Date,Asset,Average Dividend Yield,Return on Assets,Total Debt to Total Assets,1-Year Volatility,Year,Ticker
2017-12-29,TSLA UW Equity,0.0,-7.6439,35.6473,35.743,2017,TSLA
2018-12-31,TSLA UW Equity,0.0,-3.3431,40.254,58.054,2018,TSLA
2019-12-31,TSLA UW Equity,0.0,-2.6917,42.5632,51.882,2019,TSLA
2020-12-31,TSLA UW Equity,0.0,1.6679,25.3663,90.022,2020,TSLA
2015-12-31,TXN UW Equity,2.3106,17.7728,25.3851,27.028,2015,TXN
2016-12-30,TXN UW Equity,2.2532,22.014,21.9646,21.506,2016,TXN
2017-12-29,TXN UW Equity,1.9635,21.6124,23.1096,16.249,2017,TXN
2018-12-31,TXN UW Equity,2.0094,32.0883,29.5734,30.959,2018,TXN
2019-12-31,TXN UW Equity,2.2916,28.5422,34.0493,27.638,2019,TXN
2020-12-31,TXN UW Equity,2.4747,29.9446,36.7888,43.288,2020,TXN
2015-12-31,VRSK UW Equity,0.0,12.7875,56.2365,23.887,2015,VRSK
2016-12-30,VRSK UW Equity,0.0,11.5639,51.5417,17.244,2016,VRSK
2017-12-29,VRSK UW Equity,0.0,10.4229,49.9776,15.499,2017,VRSK
2018-12-31,VRSK UW Equity,0.0,10.0448,46.1553,19.967,2018,VRSK
2019-12-31,VRSK UW Equity,0.0027,6.9453,48.1872,17.049,2019,VRSK
2020-12-31,VRSK UW Equity,0.5843,9.7517,46.6053,38.747,2020,VRSK
2015-12-31,VRSN UW Equity,0.0,17.6213,79.2998,21.401,2015,VRSN
2016-12-30,VRSN UW Equity,0.0,18.7816,79.9698,25.498,2016,VRSN
2017-12-29,VRSN UW Equity,0.0,17.3339,81.9446,13.785,2017,VRSN
2018-12-31,VRSN UW Equity,0.0,23.992,93.2381,30.085,2018,VRSN
2019-12-31,VRSN UW Equity,0.0,32.4955,96.9122,21.824,2019,VRSN
2020-12-31,VRSN UW Equity,0.0,45.01,101.9497,39.923,2020,VRSN
2015-12-31,VRTX UW Equity,0.0,-23.021,30.2148,41.089,2015,VRTX
2016-12-30,VRTX UW Equity,0.0,-4.1536,29.0239,43.235,2016,VRTX
2017-12-29,VRTX UW Equity,0.0,8.1792,1.2134,37.257,2017,VRTX
2018-12-31,VRTX UW Equity,0.0,42.8291,0.3991,33.661,2018,VRTX
2019-12-31,VRTX UW Equity,0.0,16.1601,8.0924,28.091,2019,VRTX
2020-12-31,VRTX UW Equity,0.0,27.0215,8.0197,47.295,2020,VRTX
2015-12-31,WBA UW Equity,1.5056,7.9599,20.911,28.045,2015,WBA
2016-12-30,WBA UW Equity,1.6927,5.8995,26.1776,21.152,2016,WBA
2017-12-29,WBA UW Equity,1.8486,5.8804,19.5958,18.504,2017,WBA
2018-12-31,WBA UW Equity,2.1858,7.4911,21.1335,27.889,2018,WBA
2019-12-31,WBA UW Equity,2.86,5.8679,26.983,28.714,2019,WBA
2020-12-31,WBA UW Equity,4.2306,0.5893,47.2549,48.815,2020,WBA
2018-12-31,WDAY UW Equity,0.0,-7.991,21.8227,40.086,2018,WDAY
2019-12-31,WDAY UW Equity,0.0,-7.7923,23.0307,36.265,2019,WDAY
2020-12-31,WDAY UW Equity,0.0,-3.6361,25.3879,51.875,2020,WDAY
2018-12-31,XEL UW Equity,3.0946,2.8332,37.6889,18.01,2018,XEL
2019-12-31,XEL UW Equity,2.5933,2.8454,40.6914,15.289,2019,XEL
2020-12-31,XEL UW Equity,2.4455,2.8217,41.1587,39.665,2020,XEL
2015-12-31,XLNX UW Equity,2.6557,11.3378,32.7655,24.529,2015,XLNX
2016-12-30,XLNX UW Equity,2.5248,13.0235,30.6205,24.362,2016,XLNX
2017-12-29,XLNX UW Equity,2.0577,9.468,33.8625,21.658,2017,XLNX
2018-12-31,XLNX UW Equity,1.9019,17.4258,23.9706,36.385,2018,XLNX
2019-12-31,XLNX UW Equity,1.3535,16.1046,27.8361,42.022,2019,XLNX
2020-12-31,XLNX UW Equity,1.495,16.1046,27.8361,48.995,2020,XLNX
2020-12-31,ZM UW Equity,0.0,20.4108,2.0011,83.001,2020,ZM
